26.10.22 15:46
Статистика проекта

                    	Сегменты	Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	    7028	57557	                263138	               312594	               20	
Осталось:           	    7027	57556	                263129	               312585	               20	
Уникальные:         	    6461	56062	                255560	               304118	               20	
Осталось уникальных:	    6460	56061	                255551	               304109	               20	


Статистика по отдельным файлам:

Имя файла             	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
00_dia_unsorted.ini   	           1696	              1696	               1650	                         1650	     20189	        20189	           20017	                   20017	                        86933	                           86933	                            86107	                                      86107	                          105058	                             105058	                              104128	                                        104128	
00_misc.ini           	             70	                70	                 59	                           59	       852	          852	             790	                     790	                         3742	                            3742	                             3448	                                       3448	                            4536	                               4536	                                4190	                                          4190	
01_tss_prologue.ini   	            137	               137	                136	                          136	      1640	         1640	            1632	                    1632	                         7091	                            7091	                             7053	                                       7053	                            8548	                               8548	                                8503	                                          8503	
activities.ini        	            451	               451	                431	                          431	      2127	         2127	            2066	                    2066	                        10156	                           10156	                             9864	                                       9864	                           11738	                              11738	                               11405	                                         11405	
cheats.ini            	            116	               116	                116	                          116	       248	          248	             248	                     248	                         1283	                            1283	                             1283	                                       1283	                            1414	                               1414	                                1414	                                          1414	
customization.ini     	           1260	              1260	               1178	                         1178	      2691	         2691	            2556	                    2556	                        13468	                           13468	                            12812	                                      12812	                           14814	                              14814	                               14105	                                         14105	
cutscene_names.ini    	            141	               141	                138	                          138	       440	          440	             429	                     429	                         2336	                            2336	                             2281	                                       2281	                            2635	                               2635	                                2572	                                          2572	
geography.ini         	             88	                88	                 76	                           76	       141	          141	             123	                     123	                          885	                             885	                              782	                                        782	                             939	                                939	                                 830	                                           830	
help.ini              	            225	               225	                206	                          206	     11750	        11750	           11627	                   11627	                        53375	                           53375	                            52807	                                      52807	                           64827	                              64827	                               64155	                                         64155	
interface.ini         	            635	               635	                544	                          544	      2233	         2233	            2057	                    2057	                        11283	                           11283	                            10280	                                      10280	                           12835	                              12835	                               11749	                                         11749	
missions.ini          	            576	               576	                520	                          520	      3427	         3427	            3250	                    3250	                        17018	                           17018	                            16018	                                      16018	                           19458	                              19458	                               18341	                                         18341	
multi.ini             	            718	               718	                609	                          609	      3902	         3902	            3697	                    3697	                        18121	                           18121	                            17095	                                      17095	                           21267	                              21267	                               20148	                                         20148	
phone.ini             	             30	                29	                 27	                           26	        62	           61	              57	                      56	                          318	                             309	                              286	                                        277	                             350	                                341	                                 316	                                           307	
player_creation.ini   	            105	               105	                 93	                           93	       213	          213	             201	                     201	                         1030	                            1030	                              972	                                        972	                            1135	                               1135	                                1077	                                          1077	
stats_achievements.ini	            112	               112	                108	                          108	       390	          390	             387	                     387	                         2200	                            2200	                             2181	                                       2181	                            2479	                               2479	                                2460	                                          2460	
stores.ini            	            241	               241	                207	                          207	      1013	         1013	             929	                     929	                         4629	                            4629	                             4229	                                       4229	                            5382	                               5382	                                4933	                                          4933	
story_so_far.ini      	             52	                52	                 52	                           52	      3395	         3395	            3395	                    3395	                        15593	                           15593	                            15593	                                      15593	                           19010	                              19010	                               19010	                                         19010	
tutorial.ini          	            103	               103	                100	                          100	      1601	         1601	            1573	                    1573	                         7574	                            7574	                             7440	                                       7440	                            9101	                               9101	                                8942	                                          8942	
unlocks.ini           	            161	               161	                114	                          114	       898	          898	             741	                     741	                         4451	                            4451	                             3639	                                       3639	                            5183	                               5183	                                4261	                                          4261	
weapons_items.ini     	            111	               111	                 97	                           97	       345	          345	             287	                     287	                         1652	                            1652	                             1390	                                       1390	                            1885	                               1885	                                1579	                                          1579	
